anime_name,anime_year,anime_genre,anime_views,number_of_episodes,anime_url,anime_comments,anime_description,image,ongoing
Магмел синего моря,2019,"['Экшен', 'Приключения', 'Сёнэн', 'Фэнтези']",32195,13,https://animestars.org/aniserials/video/action/439-magmel-sinego-morya.html,7,"Весь перевернулся с ног на голову после появления нового острова на просторах нашей планеты. Люди со всей планеты ринулись исследовать неизведанную землю. Сам же остров стал пристанищем для новых видов растений, животных, а его флору и фауну можно смело называть самой уникальной на планете. Именно поэтому сюда и стекается самый разный контингент людей. Даже самые отъявленные отбросы...",https://animestars.org/uploads/posts/2019-04/1555183998_1.jpg,0
Исчезнувший город,2019,"['Экшен', 'Детектив', 'Драма', 'Приключения', 'Фэнтези']",37344,12,https://animestars.org/aniserials/video/action/419-ischeznuvshiy-gorod.html,3,"Эта фантастическая история произошла в Японии с молодыми людьми, которых интересует судьба исчезнувшего города. Исчез не сам город, а все люди, которые жили и находились в этом городе. Куда они пропали, живы ли, и как это вообще произошло не известно. Правительство страны должно непременно выяснить, куда пропало население этого города, но не в силах. Парень по имени Такуя невольно...",https://animestars.org/uploads/posts/2019-04/1554395987_1.jpg,0
Мы не можем учиться!,2019,"['Гарем', 'Комедия', 'Романтика', 'Сёнэн', 'Школа']",48487,13,https://animestars.org/aniserials/video/garem/428-my-ne-mozhem-uchitsya.html,17,"Репетиторство, можно считать очень прибыльной профессией. Пока я стряхиваю с себя гнилые помидоры с протухшими яйцами, я вам это докажу. Учитель с мировым именем может получать очень хорошие деньги обучая детей богатеев на дому. Такие дети с легкостью могут стать гениями. «Если ты не можешь объяснить 7-ми летнему ребенку как работает тот или иной прибор, тогда ты сам не знаешь, как...",https://animestars.org/uploads/posts/2019-04/1554578155_1.jpg,0
Оккультные служащие полуночи,2019,"['Детектив', 'Приключения', 'Сверхъестественное', 'Сёдзё', 'Фэнтези']",27467,12,https://animestars.org/aniserials/video/detective/465-okkultnye-sluzhaschie-polunochi.html,4,"Арата Мияко приняли в полуночный департамент Шэнь Жуко. Сео из Британии – первый, с кем он познакомился на новом месте. Арата сразу отметил для себя, что этот парень с ярко выраженной женской внешностью и явной любовью к химическим экспериментам. Большую часть времени Арата и его коллеги проводят вне офиса. По ночам у них всегда много работы. В мегаполисе и в ночное время суток...",https://animestars.org/uploads/posts/2019-04/1555961497_1.jpg,0
Внук мудреца,2019,"['Экшен', 'Комедия', 'Романтика', 'Фэнтези']",226525,12,https://animestars.org/aniserials/video/action/436-vnuk-mudreca.html,64,"Жизнь главного героя вовсе не отличается от других офисных планктонов. Мужчина, большую часть времени проводит в кабинете, не собирается быть в спокойствии, что приведет к небольшому перевороту. Япония, как не странно, всегда выделялась среди остальных государств личностями, кто умело пользуется мозгами и умением становиться волшебниками. Однажды, случайный поступок полностью...",https://animestars.org/uploads/posts/2019-04/1554925614_1.jpg,0
Вторжение гигантов 3 сезон,2018,"['Война', 'Драма', 'Постапокалиптика', 'Приключения', 'Сёнэн', 'Фэнтези']",179813,22,https://animestars.org/aniserials/video/war/305-vtorzhenie-gigantov-3-sezon.html,44,"Титаны продолжают представлять огромную опасность. Избавиться от этой угрозы никак не получается. Люди гибнут как мухи. Многометровые монстры разрушают поселения и города. Последний уцелевший город титаны растоптать не могут благодаря высоченным стенам. Эти стены названы женскими именами – Марией, Шиной и Розой. Титаны периодически пытаются штурмовать этот город, но пока не появился...",https://animestars.org/uploads/posts/2018-06/1528776017_1.jpg,0
Цирк марионеток,2018,"['Детектив', 'Драма', 'Приключения', 'Сёнэн']",30227,36,https://animestars.org/aniserials/video/detective/402-cirk-marionetok.html,3,"Наруми привлекал на улице клиентов в цирк. Он был одет в мишку и раздавал листовки. Мимо него прошел грустный мальчик со странным чемоданом в руках. Наруми почувствовал острое желание рассмешить мальчишку. Подобные приступы для него не редкость и отступают только, когда хоть кто-то рядом засмеется. Наруми чувствует потребность рассмешить людей. И вот, когда Наруми ждал смеха от...",https://animestars.org/uploads/posts/2019-03/1552774177_1.jpg,0
"Что вы здесь делаете, сэнсэй?",2019,"['Комедия', 'Романтика', 'Сэйнэн', 'Школа', 'Этти']",61898,12,https://animestars.org/aniserials/video/comedy/435-chto-vy-zdes-delaete-sensey.html,22,"Этот ученик старшей школы был тайным учеником, наверное, самого искусного «подглядывальщика» или «попадальщика» в неловкие ситуации. Кто же был этим самым учителем, мы никогда не узнаем. Это будет великая тайна покрытая мраком. Где-то чихнул Юки Рито. Наш главный герой по имени Ичиро Сато так и норовит попасть в неловкие ситуации, связанные с противоположным полом. Никто бы и слова...",https://animestars.org/uploads/posts/2019-04/1554838430_1.jpg,0
РобиХати,2019,"['Комедия', 'Приключения', 'Фантастика']",14308,12,https://animestars.org/aniserials/video/comedy/438-robihati.html,5,"Повествование разворачивается в далеком будущем, а если быть точном, то в 51-ом году некой галактической эры. Именно в это время земляне впервые встретились с представителями внеземной цивилизации. Налаживание дипломатических отношения, лишь одна из тех малых вопросов, которое настигло человечество. Больше всего, как бы это не было удивительно, людям нужны были новые технологии, и...",https://animestars.org/uploads/posts/2019-04/1555100096_1.jpg,0
Восхождение Героя щита,2019,"['Драма', 'Кемонобито', 'Комедия', 'Приключения', 'Романтика', 'Сэйнэн', 'Фэнтези']",382836,25,https://animestars.org/aniserials/video/drama/391-voshozhdenie-geroya-schita.html,130,"Наофуми часто просыпался в холодном поту. Ему снился странный сон, в котором он был в другом мире. Этот параллельный мир был совсем непохож на его привычную жизнь в Японии. Однажды он действительно увидел его воочию. Когда он пришел в библиотеку и открыл совершенно обычную на первый взгляд книгу, произошло чудо, и он перенесся в другой мир. Он увидел вокруг себя множество людей в...",https://animestars.org/uploads/posts/2019-03/1553995747_1.jpg,0
Похотливая Ао не может учиться,2019,"['Комедия', 'Романтика', 'Сёнэн', 'Этти']",38485,12,https://animestars.org/aniserials/video/comedy/407-pohotlivaya-ao-ne-mozhet-uchitsya.html,7,"Ао Хориэ еще с малых лет знала, почему ее зовут так коротко — Ао. Так ее назвал отец. Он был популярным автором эротики. Для него «А» это яблоко, а «О» это оргия. Она без стеснения об этом рассказывала детям из детского сада, еще не совсем понимая, что к чему. Через несколько лет Ао стала пытаться стать независимой от отца. Она упорно налегала на учебу, потому как хотела поступить в...",https://animestars.org/uploads/posts/2019-03/1553540015_1.jpg,0
Заботливая 800-летняя жена!,2019,"['Кемонобито', 'Комедия', 'Повседневность', 'Романтика', 'Сверхъестественное']",64343,12,https://animestars.org/aniserials/video/kemonobito/444-zabotlivaya-800-letnyaya-zhena.html,31,"О какой жене вы мечтали? Умница, красавица, хозяйственная, сама следит за ребенком и не нагружает ваш мозг, когда вы в пятницу идете в бар? Ох уж эти мечты. А если она еще и работает и может удовлетворить все ваши «потребности» … Точно мечты. И таких девушек один на миллион. Примерно так же и девушки мечтают о принцах на белах коне, как и мужчины о хранительницах очага. Рано или...",https://animestars.org/uploads/posts/2019-04/1555358197_1.jpg,0
Четвёрка попаданцев,2019,"['Комедия', 'Пародия', 'Фэнтези', 'Школа']",32125,12,https://animestars.org/aniserials/video/comedy/455-chetverka-popadancev.html,17,"Аква в панике, поскольку стремление попасть в ванную комнату перебило всю её сущность. Оказывается, неизвестный монстр бросил на красавицу слизь, от которой невозможно отмыться. Вскоре станет известно, что это дело рук самой злой и неприятной Казуми Сато. История показывает, что некая Назарика Альбедо не собирается останавливаться на давно достигнутых целях, она уже сейчас...",https://animestars.org/uploads/posts/2019-04/thumbs/1555706446_1.jpg,0
Заметки Ятогамэ,2019,"['Комедия', 'Повседневность', 'Сёнэн', 'Школа']",7958,12,https://animestars.org/aniserials/video/comedy/430-zametki-yatogame.html,2,"Когда переезжаешь из одной местности в другую, даже если это в одной стране, всегда сталкиваешься с трудностями. Это может быть и различие в произношении слов, местный диалект, определенные слова, которые не употребляют в речи или наоборот употребляются чаще, чем в других регионах. Помимо отличительных языковых особенностей, есть и другие культурные различия, которые сразу бросаются...",https://animestars.org/uploads/posts/2019-04/1554657533_1.jpg,0
Девушка-сэнрю,2019,"['Комедия', 'Повседневность', 'Сёнэн', 'Школа']",20590,12,https://animestars.org/aniserials/video/comedy/426-devushka-senryu.html,4,"Сэнрю… Окей, Гугл. Жанр, возникший в период Эдо. Ай, история, не люблю историю. Хотя, тут она очень даже к месту. Всё аниме будет крутиться вокруг сэнрю и это было бы не Аниме, если бы всё было так просто и понятно. Старшеклассникам, порой, сложно выражать свои мысли, а если их еще и воспринимать нужно, то беда. Раз нужно воспринимать, ничего не поделать. С нашей главной героиней...",https://animestars.org/uploads/posts/2019-04/1554569299_1.jpg,0
Царство 2 сезон,2013,"['Война', 'История', 'Приключения', 'Сэйнэн']",24550,39,https://animestars.org/aniserials/video/war/509-carstvo-2-sezon.html,1,"Принцу Ин Чжэн удалось справиться с армией заговорщиков и вернуть себе трон царства Цинь. Радоваться, правда, рано. Молодой царь еще не опытен, у него пока слишком мало сторонников, положение его зыбко. Власть на самом деле в руках Люй Бувэя. Он коварен и умен. С помощью подкупов и интриг он прошел на пост регента. В конфронтацию с действующим принцем он не вступает, но очевидно,...",https://animestars.org/uploads/posts/2019-06/1560883889_1.jpg,0
Ультрамен,2019,"['Экшен', 'Приключения']",40772,13,https://animestars.org/aniserials/video/action/508-ultramen.html,1,"Синдзиро Хаята является самым обыкновенным, ничем не выделяющимся среди сверстников юношей, до определенного момента парень ведет абсолютно обычное существование, в ходе которого не происходит ничего особенного. Синдзиро даже не подозревает о том, что в его родном городе обитает некий отважный супергерой, носящий имя Ультрамена, и приходящий на помощь людям в сложных ситуациях, он...",https://animestars.org/uploads/posts/2019-06/thumbs/1560791224_1.jpg,0
Царство 1 сезон,2012,"['Война', 'История', 'Приключения', 'Сэйнэн']",29423,38,https://animestars.org/aniserials/video/war/507-carstvo-1-sezon.html,3,"Древний Китай, около 2500 лет назад. Вдоль красивого леса бодро идут два мальчика без сопровождения взрослых. За их плечами тяжёлый груз. Вдруг земля начинает трястись и подростки сперва предполагают, что началось землетрясение, но почти сразу понимают, что дело в том, что где-то идёт бой. Бросив свои тюки, они бегут туда, откуда идёт шум и им открывается невероятное зрелище. Это...",https://animestars.org/uploads/posts/2019-06/thumbs/1560628531_1.jpg,0
Магазинчик сладостей 1 сезон,2016,"['Комедия', 'Повседневность', 'Сёнэн']",41572,12,https://animestars.org/aniserials/video/comedy/506-magazinchik-sladostey-1-sezon.html,10,"Коконуцо всю жизнь видит, как его отец занимается кондитерским бизнесом. Кондитерские изделия его производства пользуются популярностью, в его небольшом магазинчике всегда есть клиенты. Но Коконуцо не собирается идти по его стопам, хотя и умеет готовить и знает все тонкости ведения бизнеса. Подросток живет своими мечтами, он хочет заниматься рисованием сёдзё. Поскольку это дело...",https://animestars.org/uploads/posts/2019-06/1560192141_1.jpg,0
Две звезды оммёдзи,2016,"['Приключения', 'Романтика', 'Сверхъестественное', 'Сёнэн', 'Фэнтези', 'Многосерийные']",69983,50,https://animestars.org/aniserials/video/adventure/502-dve-zvezdy-ommedzi.html,16,"Внешне Рокуро Энмадо, главный герой этой истории, выглядит, как ребенок, по нему не скажешь, что у него есть необычная сила. История его становления как героя начинается с того, что однажды прямо рядом с ним с небес спустилась девушка с ярко-зелеными глазами. С первого взгляда она покорила его. Рокуро захотел о ней заботиться. Вскоре он узнал, что ее зовут Бэнио и она экзорцист....",https://animestars.org/uploads/posts/2019-06/1559400880_1.jpg,0
Эрго Прокси,2006,"['Детектив', 'Драма', 'Киберпанк', 'Постапокалиптика', 'Приключения', 'Сэйнэн', 'Фантастика']",60469,23,https://animestars.org/aniserials/video/detective/501-ergo-proksi.html,7,"Техногенные катастрофы могут стать неизбежным событием, если человечество не будет заботиться об окружающей среде. Каждый раз, когда отравляется нечистотами очередной водоем или строится очередной завод без надлежащих фильтров, мир катится в бездну этой самой катастрофы. После взрыва слоя гидрата метана людям ничего не оставалось, как построить огромные купола-города и жить в них....",https://animestars.org/uploads/posts/2019-06/1559370646_1.jpg,0
Сервамп,2016,"['Вампиры', 'Дзёсэй', 'Драма', 'Комедия', 'Мистика', 'Сверхъестественное']",30888,12,https://animestars.org/aniserials/video/vampires/499-servamp.html,6,"Казалось бы, рядовая ситуация, добрый человек решает приютить маленькое и беззащитное животное, а именно, котика. Ничего не предвещало неприятностей, кроме приучения к лотку, покупки еды, становления на учет к ветеринару и прочего. Собственно, стандартные процедуры, когда животные попадают в дом к хозяевам. Проблем и быть не должно было, только одно могло оттолкнуть от бедного...",https://animestars.org/uploads/posts/2019-05/1559235331_1.jpg,0
Маги: Приключения Синдбада,2016,"['Приключения', 'Сёнэн', 'Фэнтези']",47506,12,https://animestars.org/aniserials/video/adventure/497-magi-priklyucheniya-sindbada.html,5,"Человечество неоднократно знакомилось с историей легендарного путешественника по морям по имени Синдбад. Искать приключения и выходить с них победителем, нравятся парнишке, так почему сегодня не сделать новое открытие. Только не все знают, кем был парнишка до того, как стал величайшим отважным героем. Все началось в четырнадцать лет, когда молодой, никому не известный парнишка...",https://animestars.org/uploads/posts/2019-05/1558721527_1.jpg,0
Маги: Королевство магии,2013,"['Комедия', 'Приключения', 'Сёнэн', 'Фэнтези']",69316,25,https://animestars.org/aniserials/video/comedy/496-magi-korolevstvo-magii.html,12,"Юго, Али–Баба и Аладдин возвращаются с новыми приключениями. Для достижения собственной цели, герои готовы жертвовать многим, но проверенная годами дружба становиться спутником в жизни. Аладдин, когда-то нашел магическую лампу, откуда в нужный момент готов вырваться джин Юго и спасти человечество от неминуемой смерти. Наставником для парня является его партнер и названый отец...",https://animestars.org/uploads/posts/2019-05/1558549238_1.jpg,0
Великий из бродячих псов 2 сезон,2016,"['Детектив', 'Мистика', 'Приключения', 'Сверхъестественное', 'Сэйнэн']",26843,12,https://animestars.org/aniserials/video/detective/492-velikiy-iz-brodyachih-psov-2-sezon.html,6,"Детективное агентство возвращается во главе с непобедимым Накаджимой. Когда-то, будучи малышом, ему пришлось не сладко. Мальчишка пережил небывалую схватку с самыми ужасными существами, познакомился с потусторонними силами, но сегодня он полностью пережил с того возраста и стал другим. Наверняка, многие забыли, с чем он сталкивался, какими методами стремился защитить себя, но...",https://animestars.org/uploads/posts/2019-05/1558119905_1.jpg,0
Бронированные воины Вотомы,1983,"['1984', 'Война', 'Меха', 'Приключения', 'Фантастика', 'Многосерийные']",26161,52,https://animestars.org/aniserials/video/war/491-bronirovannye-voiny-votomy.html,1,"Вечная война между двумя непримиримыми нациями Баларанта и Гильгамеш продолжается. Наверняка не найдется ни один настоящий герой, кто сумеет перевернуть ход событий и вырулить с беды. Однако найти настоящую причину разногласия практически невозможно. Если задаться вопросом, что на самом деле случилось и что выступило подвохом для произошедшего. Космические сражения переходят на...",https://animestars.org/uploads/posts/2019-05/1558116327_1.jpg,0
Фронт кровавой блокады 2 сезон,2017,"['Вампиры', 'Комедия', 'Приключения', 'Сверхъестественное', 'Сёнэн', 'Фэнтези']",21525,12,https://animestars.org/aniserials/video/vampires/490-front-krovavoy-blokady-2-sezon.html,2,"Леонардо Уотч живет в мире, где при каждом удобном случае злодеи пытаются захватить мир. Тайное общество сверх людей ведут активную работу круглые сутки, чтобы никакая нечисть не навредила человечеству. Это общество, название которого «Либра», старается привлечь в свои члены самых лучших ребят. У всех у них есть какие-то необычные способности. У Леонардо они тоже есть и им даже дали...",https://animestars.org/uploads/posts/2019-05/1557860480_1.jpg,0
Подручный Луизы-Нулизы 4 сезон,2012,"['Гарем', 'Комедия', 'Романтика', 'Сэйнэн', 'Фэнтези', 'Этти']",34691,12,https://animestars.org/aniserials/video/garem/487-podruchnyy-luizy-nulizy-4-sezon.html,8,"Последний сезон подкрался незаметно. Все точки над И будут расставлены в отношениях Луизы и Сайто. Хотя, как вы уже поняли, от взрывов ему никуда не деться. Со стороны может показаться, что отношения между Сайто и Луизой стоят на месте и вы будете правы. Новые враги будут куда более беспощадные чем все предыдущие, а если взять во внимание древнее зло, которое так и хочет уничтожить...",https://animestars.org/uploads/posts/2019-05/1557339793_1.jpg,0
Подручный Луизы-Нулизы 3 сезон,2008,"['Гарем', 'Комедия', 'Романтика', 'Сэйнэн', 'Фэнтези', 'Этти']",33030,13,https://animestars.org/aniserials/video/garem/486-podruchnyy-luizy-nulizy-3-sezon.html,2,"Ради своей любимой и умереть не жалко. Возможно, таковыми и были последние мысли Сайто перед смертью. Он проявил просто невероятную храбрость во время войны с Альбионом. О его деяниях будут петь барды в городах, а в барах будут рассказывать Легенды за кружкой отличного Эля. Луиза будет оплакивать своего героя, который пожертвовал собой чтобы армия Тристейна смогла отступить. Всё это...",https://animestars.org/uploads/posts/2019-05/1557337752_1.jpg,0
Подручный Луизы-Нулизы 2 сезон,2007,"['Гарем', 'Комедия', 'Романтика', 'Сэйнэн', 'Фэнтези', 'Школа', 'Этти']",42942,12,https://animestars.org/aniserials/video/garem/485-podruchnyy-luizy-nulizy-2-sezon.html,6,"История Сайто и Луизы продолжается. Оказывается, сам великий Гандальф воплотился в лице Сайто. Именно его способность мечника помогла ему справляться со всеми тяжбами мира, где дворяне правят балом. Напарник у паренька что надо. Его меч всегда поможет своему напарнику дельным советом, однако, не упускает момента подшутить над неопытным пареньком. В свою очередь, Луиза научилась...",https://animestars.org/uploads/posts/2019-05/1557254703_1.jpg,0
Удар крови: Королевство Валькирии,2015,"['OVA', 'Экшен', 'Вампиры', 'Сверхъестественное', 'Сёнэн', 'Фэнтези', 'Школа', 'Этти']",37668,2,https://animestars.org/ova/480-udar-krovi-korolevstvo-valkirii.html,2,"Королевская семья «Альдегир» прибыла на остров Итагами, а это означает только то, что Акацуки Кодзё вновь предстоят новые приключения в окружении красивых девушек. Как же хочется спокойной жизни, а тут солнце голову припекает, Юкина вечно с него глаз не спускает. Хотя, ему то грех жаловаться, а он жалуется. Тут еще на голову и Лафолия свалилась, сбежала от отца, короля королевства...",https://animestars.org/uploads/posts/2019-05/1556726187_1.jpg,0
Боевая академия города Астериск 2 сезон,2016,"['Гарем', 'Комедия', 'Приключения', 'Романтика', 'Сверхъестественное', 'Фантастика', 'Этти']",71304,12,https://animestars.org/aniserials/video/garem/478-boevaya-akademiya-goroda-asterisk-2-sezon.html,8,"Продолжение первого сезона развернется всё там же, на арене. Именно там. Только мечом можно проложить себе путь к своей цели, а именно, выяснить, что же случилось с сестрой главного героя, Амагири Аято. Таково будет его желание, если он и его напарница, Джулис Алексия, победят в «Фесте». Не слабо так улучшив свои навыки, парнишка уже не выглядит таким слабым, да и не маленький гарем...",https://animestars.org/uploads/posts/2019-04/1556650945_1.jpg,0
Боевая академия города Астериск 1 сезон,2015,"['Гарем', 'Комедия', 'Приключения', 'Романтика', 'Сверхъестественное', 'Фантастика', 'Фэнтези', 'Этти']",201117,12,https://animestars.org/aniserials/video/garem/477-boevaya-akademiya-goroda-asterisk-1-sezon.html,15,"Мир изменился… Ничего не осталось… Как будто метеорит на землю рухнул и заставил людей познать искусство «Магии». Собственно говоря, примерно всё так и было. На землю, действительно, упал метеорит и натворил дел. А если быть точным, то не один, а аж метеоритный дождь. Это событие, названное «Инверсия», человечество не забудет никогда. Как феникс, восставший из пепла, возродился...",https://animestars.org/uploads/posts/2019-04/1556650295_1.jpg,0
"Эй, цыпочка!",2011,"['Гарем', 'Комедия', 'Повседневность', 'Романтика', 'Школа', 'Этти']",40242,13,https://animestars.org/aniserials/video/garem/473-ey-cypochka.html,6,"Женщины очень опасные существа. Они подлые, коварные и строят хитрые планы в отношении мужчин. К счастью, не все такие, но никто от таких не застрахован. Всегда нужно держать ухо в остро. Сакамачи Кинджиро не повезло вдвойне. Он родился в семье, где царствует и процветает матриархат и как итог – боксерская груша на тренировках с матерью и сестрой. Бедного парня довели до крайности....",https://animestars.org/uploads/posts/2019-04/thumbs/1556556267_1.jpg,0
Путь аса 2 сезон,2015,"['Комедия', 'Спорт', 'Сэйнэн', 'Школа', 'Многосерийные']",12307,51,https://animestars.org/aniserials/video/comedy/469-put-asa-2-sezon.html,5,"В центре внимания ученик старшей школы Эйдзюн. Он не может представить свою жизнь без бейсбола. Эта игра для него – смысл жизни. Ради нее он уехал из сельской местности и поступил в токийскую школу, в которой есть хорошая команда по бейсболу. Бейсбольный клуб школы дал парню шанс показать себя во время матчей и Эйдзон из кожи вон лезет, чтобы играть как можно лучше. Вместе с ним в...",https://animestars.org/uploads/posts/2019-04/1556211616_1.jpg,0
"Очень приятно, Бог 2 сезон",2015,"['Комедия', 'Мистика', 'Романтика', 'Сверхъестественное', 'Сёдзё', 'Фэнтези']",35331,12,https://animestars.org/aniserials/video/comedy/466-ochen-priyatno-bog-2-sezon.html,11,"Бог земли, успешно передавший свои обязанности Нанами и успешно избежав участи нести это бремя продолжает наблюдать за событиями со стороны, периодически появляясь на экранах. Однако, речь пойдет не о нем. Не он наш главный герой, да и экранного времени у него мало. Нанами продолжает ходить в школу, а Томоэ её охранять. Ничего необычного не произошло, если не брать во внимание...",https://animestars.org/uploads/posts/2019-04/thumbs/1555966183_1.jpg,0
"Очень приятно, Бог 1 сезон",2012,"['Комедия', 'Мистика', 'Романтика', 'Сверхъестественное', 'Сёдзё', 'Фэнтези']",40900,14,https://animestars.org/aniserials/video/comedy/464-ochen-priyatno-bog-1-sezon.html,13,"Никогда не увлекайтесь азартными играми. Я вам говорю вполне серьезно. Это приводит к катастрофическим последствиям и не редко люди заканчивают свою жизнь на улице полностью забытые и никому не нужные. Это и могло бы произойти с бедной девушкой, Момодзоно Нанами, которая была выкинута из своей квартиры злыми дядями, пришедшими забрать долги отца Нанами. Вот таким нехитрым образом...",https://animestars.org/uploads/posts/2019-04/thumbs/1555960274_1.jpg,0
Проклятие мультивыбора превратило мою жизнь в ад,2013,"['Гарем', 'Комедия', 'Романтика', 'Сёнэн', 'Школа', 'Этти']",29649,10,https://animestars.org/aniserials/video/garem/462-proklyatie-multivybora-prevratilo-moyu-zhizn-v-ad.html,3,"Очень необычная история… Именно такой она и будет. Тут уже сложно называть Канадэ Амакусу обычным парнем. С его способностью он очень необычный парень, который учится в Японской школе. В любой момент перед ним может предстать выбор между тремя вариантами и какой бы он не выбрал, может воплотиться в жизнь. Далеко не всегда ему попадаются адекватные варианты решения вопроса или...",https://animestars.org/uploads/posts/2019-04/thumbs/1555871150_1.jpg,0
"Скучный мир, где не существует самой идеи похабных шуток",2015,"['Комедия', 'Пародия', 'Школа', 'Этти']",26554,12,https://animestars.org/aniserials/video/comedy/461-skuchnyy-mir-gde-ne-suschestvuet-samoy-idei-pohabnyh-shutok.html,11,"Я бы вам рекомендовал вообще не читать описание к этому Аниме, а начать просмотр даже не смотря на скриншоты. Поверьте, вы не пожалеете, что ничего не знали о нем, до начала просмотра. Те, кто решил продолжить читать смогут узнать лишь тот минимум, который нужен на старте просмотра. В недалеком будущем, Япония стала самой культурной страной в мире. И это в самом прямом смысле этого...",https://animestars.org/uploads/posts/2019-04/thumbs/1555864497_1.jpg,0
Скажи: «Я люблю тебя».,2012,"['Драма', 'Комедия', 'Романтика', 'Сёдзё', 'Школа']",21578,13,https://animestars.org/aniserials/video/drama/456-skazhi-ya-lyublyu-tebya.html,4,"Каждый из нас может замкнуться в себе или вообще оградиться от окружающего мира. Причины могут быть разными, а решение проблемы может быть банальным, а в некоторых случаях потребуются годы на возвращение человека в нормальное состояние. Предательство друзей может стать тем самым «выстрелом» в сердце человека, которому как никогда нужна была их помощь и поддержка. В следствии этого,...",https://animestars.org/uploads/posts/2019-04/1555785879_1.jpg,0
Несокрушимая механическая кукла,2013,"['Гарем', 'Приключения', 'Романтика', 'Сэйнэн', 'Фэнтези', 'Школа', 'Этти']",42395,12,https://animestars.org/aniserials/video/garem/452-nesokrushimaya-mehanicheskaya-kukla.html,11,"Альтернативная вселенная представит вам мир, где помимо технологий ученые, и не только они, успешно применяют магию. Магия настолько сложная, что для её нормального функционирования были созданы целые механизмы. Сами же механизмы были названы «Механическими Куклами» или же можно их называть «Автоматами». Нет, не те автоматы, которые делают пиф-паф, а вполне себе куклы, которые не...",https://animestars.org/uploads/posts/2019-04/1555605141_1.jpg,0
Великий из бродячих псов 1 сезон,2016,"['Экшен', 'Детектив', 'Комедия', 'Мистика', 'Приключения', 'Сверхъестественное', 'Сэйнэн']",67989,12,https://animestars.org/aniserials/video/action/451-velikiy-iz-brodyachih-psov-1-2-sezon.html,9,"Давайте посмотрим правде в глаза. Редко, когда дети после приюта становятся полноценными членами общества. Этих детей жалко, но сделать можно крайне мало. Не давать им послаблений и показывать, как устроен этот жестокий мир. Мир, одинаково жесток ко всем, только одни могут крутиться в нем и не ощущать последствий, другие же могут с головой окунуться в забвение и творить ужасные...",https://animestars.org/uploads/posts/2019-04/1555533818_1.jpg,0
Герой при заклятом враге,2013,"['Комедия', 'Романтика', 'Фэнтези']",73950,12,https://animestars.org/aniserials/video/comedy/449-geroy-pri-zaklyatom-vrage.html,4,"Кому может быть выгодна война? Скорее всего вы скажете, что кроме как властям и шишкам, которые руководят всеми действиями, некому. С этим спорить очень трудно. Не так-то просто объяснить матери, за что погиб на войне её сын или объяснять любящей жене с ребёнком, что папа может не вернуться вовсе так как дяди на верхушке власти так решили. Одно дело защищать свою страну, другое же...",https://animestars.org/uploads/posts/2019-04/1555523883_1.jpg,0
Юри на льду,2016,"['Комедия', 'Романтика', 'Спорт']",35717,12,https://animestars.org/aniserials/video/comedy/443-yuri-na-ldu.html,8,"Фигурное катание – невероятно красивый и сложный вид спорта, где ошибка может стоить многого. В том числе и победы. А когда ты несешь груз ответственности перед целой страной, сломаться очень просто. Это и случилось с главным героем, двадцатичетырехлетним Кацуки Юри, представителем Японии на Гран-при. Падение в самый ответственный момент стала катастрофическим. После возвращения...",https://animestars.org/uploads/posts/2019-04/1555348586_1.jpg,0
Индекс волшебства 3 сезон,2018,"['Гарем', 'Комедия', 'Сэйнэн', 'Фэнтези']",41751,26,https://animestars.org/aniserials/video/garem/363-indeks-volshebstva-3-sezon.html,10,"Главный герой – маг Тома. Он живет в Академграде. Он обладает суперспособностями – его правая рука может нейтрализовать любую магию, направленную на него. Как именно действует его рука он и сам не знает, но именно на него возложены большие надежды. В его городе неспокойно. Студенты и школьники устраивают митинги. Город населен только молодыми людьми, и их более двух миллионов. Всех...",https://animestars.org/uploads/posts/2018-10/1540141034_1.jpg,0
