anime_name,anime_year,anime_genre,anime_views,number_of_episodes,anime_url,anime_comments,anime_description,image,ongoing
Темнее черного 1 сезон,2007,"['Экшен', 'Детектив', 'Драма', 'Мистика', 'Фантастика']",34385,25,https://animestars.org/aniserials/video/action/878-temnee-chernogo-1-sezon.html,6,"Никогда не теряйте свою человечность. В пучине изменений во всем мире, сделать подобное очень легко. Любой, кто осмелится приобрести способности, обязан подписать «контракт». Людей с приобретёнными способностями называют «Контракторами». Плата за использования этих способностей всегда отличается. Нельзя точно узнать о плате, плата происходит сама собой. За возможность владеть...",https://animestars.org/uploads/posts/2020-10/1601564163_1.webp,0
Продюсер и любовь,2020,"['Гарем для девушек', 'Музыка', 'Повседневность', 'Романтика', 'Сёдзё']",40400,12,https://animestars.org/aniserials/video/garem-dlya-devushek/811-prodjuser-i-ljubov.html,7,"Жизнь многогранна. Проявить интерес к личности, как наша главная героиня, не составит большого труда. Если посмотреть на жизнь нашей главной героини, то вы сразу увидите, что она далеко не сахар. Отец, после смерти, оставил дочурке небольшую киностудию. Девушка не растерялась и быстро начала развивать свою маленькую киностудию постоянно придумывая и снимая все больше новых программ....",https://animestars.org/uploads/posts/2020-07/1595503765_1.webp,0
Мастер Китон,1998,"['Детектив', 'Драма', 'История', 'Повседневность', 'Приключения', 'Сэйнэн']",2445,24,https://animestars.org/aniserials/video/detective/877-master-kiton.html,0,"Фолклендская война, где принимали участники специального назначения САС, не обошла стороной героев аниме «Мастер Китон». Таичи – археолог, он готов на многое, лишь бы сбылись самые заветные желания, и история обернулась к нему лицом. Его Британские корни позволяют осознать, кем на самом деле были родители, и почему матери нужно было бежать. Видимо сложное материальное положение не...",https://animestars.org/uploads/posts/2020-10/1601503445_1.webp,0
Седьмой дух,2009,"['Экшен', 'Война', 'Дзёсэй', 'Драма', 'Комедия', 'Мистика', 'Фэнтези']",39260,25,https://animestars.org/aniserials/video/action/876-sedmoj-duh.html,2,"Пленник с аниме «Седьмой дух», осознает, что он лучший. Тейто получает легендарную силу, способную помочь ему избежать проклятия. Внезапная трагедия оставит юношу лицом к лицу с бедой. Он один начинает борьбу с могущественной империей Барсбургска. Вскоре ему удается сбежать, но уйти за терриконы ему не суждено, теперь, стает заложником святилища Церкви. Уже в убежище, впервые он...",https://animestars.org/uploads/posts/2020-09/1601499605_1.webp,0
Клятый коварный кубик,2011,"['Комедия', 'Мистика', 'Романтика', 'Сверхъестественное', 'Сэйнэн', 'Школа', 'Этти']",30071,12,https://animestars.org/aniserials/video/comedy/875-kljatyj-kovarnyj-kubik.html,6,"Харуаки с аниме «Клятый коварный кубик» не верит своей судьбе. Его отец, известный путешественник, уехал в новую страну, чтобы исследовать древнюю религию. Своему мальчику, папа отправляет странный загадочный ящик. Открыв его, Яти шокирован находкой: внутри обнаруживается древний артефакт в виде куба. Понимая, что очередная загадка родственника не приведет к добру, он просто...",https://animestars.org/uploads/posts/2020-09/1601496397_1.webp,0
Жизнь в альтернативном мире с нуля 2 сезон,2020,"['Драма', 'Психология', 'Триллер', 'Фэнтези']",179464,13,https://animestars.org/aniserials/video/drama/414-zhizn-v-alternativnom-mire-s-nulya-2-sezon.html,54,"Во втором сезоне повествование об удивительном волшебном мире продолжится. Здесь свои законы, и живут в нем помимо людей эльфы и огры. Эльфы не выглядят летающими добрыми человечками, не являются прекрасными и утонченными, к тому же, они очень обижены на весь свет, поскольку их долго угнетали. А огры, прямо как орки, — действительно опасные и страшные существа. Они жестокие людоеды....",https://animestars.org/uploads/posts/2019-03/1554051781_1.jpg,0
Команда мечты,2019,"['Драма', 'Комедия', 'Сёнэн', 'Спорт', 'Школа', 'Многосерийные']",109120,50,https://animestars.org/aniserials/video/drama/549-komanda-mechty.html,10,"Сора Куруматани очень увлечен баскетболом. При этом он не состоит в какой-либо команде, а только кидает мяч дома. Отец оборудовал ему комнату так, что можно и в баскетбол играть, и грушу бить. У Соры мама была профессиональным спортсменом, она занималась баскетболом и именно поэтому Сора также хочет именно в этом спорте достичь успеха. Отец вместе с ним не занимается бросанием мяча...",https://animestars.org/uploads/posts/2020-03/1583342868_1.jpg,0
Девичьи воздушные силы,2019,"['Экшен', 'Комедия', 'Романтика', 'Фантастика']",21546,12,https://animestars.org/aniserials/video/action/874-devichi-vozdushnye-sily.html,4,"Ничего не предвещало беды. Внезапное нашествие неизвестных аппаратов, вовсе не с нашего мира, позволяет уничтожить все запасы человечества, вплоть до артиллерии. В аниме «Девичьи воздушные силы», видно, как государства пытаются встретиться с преступниками, они разрабатывают и усовершенствуют орудие, о котором ранее никто не догадывался. Для борьбы с «Дзай», так назвали самолеты с...",https://animestars.org/uploads/posts/2020-09/1601436213_1.webp,0
Неуклюжая Уэно,2019,"['Комедия', 'Романтика', 'Сэйнэн', 'Этти']",6931,12,https://animestars.org/aniserials/video/comedy/873-neukljuzhaja-ujeno.html,2,"Школа среднего звена, где учиться главная героиня «Неуклюжая Уэно», уже завтра попадет в непредсказуемую историю. Девушка молода, перспективна, славиться среди остальных учеников талантом. Именно это дало возможность обрести счастье и стать президентом одного клуба. Однако ей не безразличная собственная судьба, поэтому, девчонка решается: рассказать о чувствах юноше. Ученик Танаке...",https://animestars.org/uploads/posts/2020-09/1601435107_1.webp,0
Горничный в маске,2008,"['Экшен', 'Комедия', 'Мистика', 'Сёнэн', 'Этти']",49068,12,https://animestars.org/aniserials/video/action/872-gornichnyj-v-maske.html,2,"Жизнь героини «Горничный в маске» ничем не отличается от старшеклассников. В свои семнадцать лет, она взяла от жизни немало приключений, но судьба решила сыграть в страшную игру. Пока все стремятся получить образование, окончить школу и попытаться создать семью, красавица все это получит и так. Оказывается, она является дочкой известного магната, имеющего за плечами огромные запасы...",https://animestars.org/uploads/posts/2020-09/1601415900_1.webp,0
"Пожалуйста, близнецы!",2003,"['Гарем', 'Драма', 'Комедия', 'Фантастика', 'Школа', 'Этти']",10083,12,https://animestars.org/aniserials/video/garem/871-pozhalujsta-bliznecy.html,1,"Шестнадцатилетний подросток с рождения был одним с сирот, обитающих в приюте. Он, скован внутри, не привык доверять людям, ведь открывая свой мир, он получает насмешку. За свою жизнь, он овладел компьютером, что показано в ленте «Пожалуйста, близнецы!», а значит, никогда не пропадет. Программирование единственная возможность заработать деньги и наконец-то распрощаться с такой...",https://animestars.org/uploads/posts/2020-09/1601334816_1.webp,0
"Пожалуйста, учитель!",2002,"['Драма', 'Комедия', 'Романтика', 'Фантастика', 'Школа']",16384,12,https://animestars.org/aniserials/video/drama/870-pozhalujsta-uchitel.html,1,"Кэй Кусанаги обладает невероятной фантазией, которую смоет передать всем школьникам с аниме «Пожалуйста, учитель!». Именно парнишка представил себе учительницу, спустившуюся с небес исключительно для него, чтобы спасти героя. Видимо руководительница Мидзухо, как не странно, пришла в школу исключительно для него, чтобы изменить судьбу в лучшую сторону. Увидев корабль, как...",https://animestars.org/uploads/posts/2020-09/1601333639_1.webp,0
Волчица и Чёрный принц,2014,"['Комедия', 'Романтика', 'Сёдзё', 'Школа']",16106,12,https://animestars.org/aniserials/video/comedy/869-volchica-i-chernyj-princ.html,4,"Шинохаре никогда не славилась среди подростков и сверстников по классу. Подруги с аниме «Волчица и Чёрный принц» издеваются и смеются девочке в лицо. Все из-за парня, она единственная, кто не входит в их ряды, поскольку отсутствует мужчина рядом. Вскоре она пойдет на обман и представит своего «мужчину». Показав завистницам фото, на котором находиться неизвестный парень, она выдает...",https://animestars.org/uploads/posts/2020-09/1601320312_1.webp,0
